Epoch,Training Loss,Validation Loss,Training MAE,Validation MAE,Validation Symmetric MAE,Training RMSE,Validation RMSE,Validation Symmetric RMSE
0,375.14572721653224,155.64470214547197,16.542718815165543,19.21468080143046,15.278327851638004,14.878557026430748,17.970844506556727,17.597843880371105
1,208.29164512915773,284.2066372311995,15.060791923469461,17.760411188934498,11.71355341237002,11.450270145791693,14.065003317423148,13.715939059730577
2,186.43753650575738,148.25334812461185,13.449137228800002,16.126009924976533,12.376586659836724,12.237104916891358,15.026295092885565,14.847118723335466
3,159.28147532231407,165.56127282742355,11.752508309240792,14.481961229903204,9.51109383348628,9.213042027452124,11.966311975875199,11.575972256781093
4,134.6067563114863,109.11815221575259,10.36900424735342,13.185724634052129,8.760061884674863,8.575742071482615,11.338591856954388,11.093463091705424
5,118.43302601624423,94.22175903235747,9.853692286666977,12.753628866976438,8.160731782614409,7.960606264968589,10.809125421874416,10.544981429830454
6,104.64086227548565,80.73304181183546,9.313995601770655,12.2638216594197,7.853711052875278,7.587378234489876,10.556584379817656,10.235419299855765
7,96.87117652909897,73.352475988586,9.055063642852083,12.074515667482574,7.5047580605981805,7.278007682742315,10.310093500672009,10.020715434662746
8,90.35854309858783,72.90710898616337,8.603967202397765,11.661374343420231,7.215057724878282,7.006426943943749,9.969227768059422,9.71307846250371
9,85.87674968676866,73.62746403552603,8.311796824592282,11.364883181628203,7.321390918185693,7.072033505183224,10.171375829346744,9.858045942097338
10,84.85136101641574,65.93813077160846,8.400805254486158,11.493331383544188,6.920051846346741,6.7143308118880105,9.731561920212418,9.46544573200322
11,80.9919301566627,70.84140642033435,8.17025337438835,11.214095943950468,7.265444600585832,7.07387719196087,10.144195950314629,9.902146613701419
12,79.41254158787848,66.27641382694505,8.045796823045805,11.067313238277713,6.978753460546899,6.795156579970807,9.716999530996247,9.499117102458994
13,76.9726866637929,65.76665518135813,7.976958018466639,10.99379360141899,7.029803432728293,6.780134564206767,9.861115718705644,9.567708186064706
14,75.18229036436256,68.62772823833916,7.857170705448194,10.882043407405988,7.271924305986754,7.07186450265885,10.185616980207815,9.93790258725982
15,72.90586569153054,61.212086356570076,7.731813316665902,10.729493046267152,6.769327482665007,6.502190421828344,9.56113254410904,9.185667681768983
16,70.68664044218205,62.54716909757387,7.583769113011808,10.530835391050358,6.593042975823631,6.384301051506268,9.276865482589594,8.999436909177057
17,68.22775632632224,59.87172441000265,7.462625565081181,10.40874889188356,6.672172752408545,6.417430525991408,9.42568232966606,9.072153498294497
18,66.18443949140058,56.12101970677839,7.465277813379521,10.39728149177741,6.559955459875146,6.354931133539604,9.226815144706316,8.97682928906972
19,65.39979113343986,56.8202889566183,7.502501433275249,10.45152120683144,6.546037903514171,6.327055856951793,9.232842164225163,8.956556922541003
20,63.198242952071126,53.744516734144234,7.422672562256948,10.317176724705359,6.559528588803451,6.175221058064463,9.268508830017016,8.779204609183473
21,61.35995701640616,52.69324983708955,7.16609671329356,10.024575393465582,6.508842146926168,6.324538575058384,9.27633719069674,9.067485303319113
22,60.30494421711173,54.36125630535588,7.2353447654810115,10.124345313555281,6.14019616261913,5.931263286315939,8.726815554411585,8.473345633711453
23,58.55334599661149,54.51483397812993,7.081776109201338,9.936882237240455,6.529595875743123,6.345103863022032,9.22602784761561,9.01324321710226
24,58.14792236323894,49.80081544147292,7.148636171586321,10.013476566387824,6.3219794736157064,6.1414918490694,9.059748135618287,8.831320079277754
25,56.065251878073795,48.852699066086615,6.842698965911562,9.630070616526242,5.882809002840709,5.706221865012028,8.459309935186957,8.243043099489405
26,55.639799176070426,49.35009875129275,6.917927999627823,9.730937685218121,6.214631881917984,6.012641511868461,8.739377488036238,8.486855996956097
27,53.62933912811869,47.564848322810114,6.736794277113111,9.500110798541046,6.00040371900425,5.872800754330969,8.587649436842765,8.428648046980475
28,53.16739836274954,49.960565067602964,6.656270844785463,9.402522331605889,5.857010906770855,5.698399026507389,8.267229861114458,8.06538403931358
29,52.00180190859881,47.918298524109176,6.722933551746564,9.460097296903825,5.9436314197849365,5.761140583025234,8.476832913371462,8.246713687160504
30,52.039292994516266,46.9789573099046,6.71436175455161,9.461723752484046,6.041961157279279,5.903309624828226,8.633866949700185,8.463223708510515
31,51.53707348817414,47.18489237738969,6.716722286282496,9.470758086727821,6.0337724789622245,5.907381256874667,8.42951118980335,8.25261736837615
32,50.36899811290372,45.856453601446916,6.647307567686234,9.401987015171903,5.886325204760905,5.713596566329852,8.31607137454981,8.104932867928559
33,49.530783533657,44.84597641264644,6.502251309384522,9.229318717962332,5.682927948390156,5.551133363860618,8.228097431570115,8.062401997224727
